403,462,1
475,435,1
349,383,0
344,107,0
190,229,1
267,510,1
72,313,0
360,231,0
289,151,0
19,269,0
470,356,1
383,129,0
312,389,0
415,29,0
114,7,0
206,467,1
455,457,1
179,408,1
402,22,0
413,183,1
387,54,0
240,497,1
0,208,0
186,267,1
397,229,1
122,217,0
276,287,0
360,18,0
365,321,0
105,370,0
484,61,0
395,479,1
18,162,0
263,157,0
335,121,0
78,290,0
147,107,0
448,2,1
505,161,0
214,62,1
278,240,0
3,477,1
151,242,1
299,406,0
446,186,1
62,435,0
300,369,0
284,261,0
220,66,1
80,353,0
381,11,0
219,11,0
360,416,1
401,203,1
330,103,0
458,144,1
19,111,0
465,42,1
357,87,0
215,489,1
387,130,0
124,198,0
117,373,1
469,353,1
171,498,1
347,155,0
116,452,1
472,398,1
157,322,1
186,245,1
389,509,1
428,261,1
156,306,1
456,260,1
6,217,0
301,436,0
296,445,0
234,183,1
19,367,0
385,393,1
206,22,1
335,253,0
177,404,1
367,496,1
379,177,0
286,155,0
208,433,1
469,486,1
79,69,0
269,300,0
259,326,1
173,506,1
106,121,0
158,495,1
199,173,1
218,2,0
180,26,1
383,327,1
48,315,0
278,362,0
378,212,0
89,300,0
456,174,1
164,382,1
305,388,0
402,310,1
461,2,0
139,256,1
277,71,0
448,479,1
459,459,1
184,242,1
296,175,0
338,495,1
28,471,1
436,128,1
360,448,1
96,192,0
83,237,0
241,210,1
328,249,0
240,174,1
378,180,0
39,68,0
404,238,1
390,133,0
334,190,0
241,237,1
15,205,0
401,486,1
129,215,0
274,104,0
69,206,0
183,188,1
447,361,1
124,132,0
98,357,0
319,306,0
253,211,0
368,505,1
7,172,0
29,173,0
149,488,1
15,54,0
88,506,1
324,258,0
303,237,0
131,308,1
120,209,0
380,411,1
473,442,1
466,308,1
216,143,1
232,328,1
134,342,1
300,295,0
297,58,0
292,7,0
19,509,1
187,95,1
19,233,0
117,387,1
414,342,1
500,117,0
364,182,0
138,439,1
431,454,1
81,140,0
182,161,1
420,37,0
437,440,1
243,219,1
71,479,0
384,138,0
110,18,0
390,96,0
64,454,0
64,115,0
115,450,1
200,212,1
278,194,0
232,210,1
219,64,1
454,452,1
371,475,1
177,146,1
46,334,0
208,185,1
216,482,1
298,405,0
39,372,0
343,161,0
227,178,1
244,215,1
251,77,0
497,202,1
476,28,0
462,382,1
239,426,1
258,366,1
296,68,0
44,469,0
62,413,0
57,485,0
80,113,0
380,461,1
350,61,0
469,283,1
91,423,0
147,216,1
95,9,0
68,270,0
34,95,0
127,169,0
345,112,0
94,176,0
363,501,1
142,125,0
193,152,1
90,463,1
170,70,1
239,180,1
484,106,1
104,343,0
305,12,0
103,475,1
214,457,1
207,459,1
119,445,1
206,328,1
197,106,1
173,246,1
340,214,0
434,416,1
322,187,0
322,278,0
357,236,0
395,115,0
99,27,0
296,419,0
274,413,1
318,72,0
41,46,0
243,139,0
79,200,0
336,152,0
231,456,1
77,350,0
65,319,0
435,371,1
16,348,0
342,25,0
443,78,1
437,391,1
362,251,0
160,10,0
43,63,0
343,206,0
64,61,0
46,322,0
354,424,1
473,153,1
421,89,1
382,297,1
42,329,0
236,483,1
331,394,0
68,4,0
74,83,0
278,0,0
504,26,0
85,315,0
381,351,1
321,235,0
85,478,1
446,435,1
138,170,0
313,425,0
1,306,1
36,313,0
83,71,0
275,263,0
493,217,1
3,480,1
371,57,0
498,351,1
133,96,0
63,266,0
369,238,0
176,148,1
47,310,0
191,480,1
4,276,0
379,259,0
507,176,0
248,85,0
476,216,1
107,255,0
7,56,0
81,218,0
238,399,1
146,305,1
13,201,0
238,56,0
283,444,1
182,25,1
189,111,1
229,375,1
452,375,1
489,365,1
386,277,1
332,335,0
323,264,0
428,17,0
321,144,0
223,197,1
487,380,1
332,481,0
315,309,0
22,198,0
420,14,0
84,452,0
162,253,1
127,154,0
122,0,0
108,133,0
317,500,0
198,420,1
337,46,0
469,411,1
46,366,0
308,398,0
332,365,0
228,51,0
67,214,0
464,321,1
69,460,0
321,338,0
506,125,0
435,196,1
239,352,1
502,246,1
206,95,1
293,14,0
93,164,0
480,321,1
431,94,1
21,42,0
229,294,1
373,302,0
131,466,1
119,488,1
259,282,1
485,215,1
314,395,0
477,381,1
209,52,1
498,192,1
67,424,0
48,455,0
54,339,0
2,88,0
161,480,1
462,360,1
217,39,0
180,88,1
490,372,1
379,312,1
412,34,0
244,455,1
331,144,0
491,39,0
156,351,1
364,138,0
445,223,1
71,191,0
165,231,1
427,394,1
39,471,1
264,437,1
456,135,1
473,231,1
121,24,0
184,11,1
247,138,0
194,369,1
407,45,0
298,201,0
39,388,0
493,329,1
498,421,1
88,383,0
299,367,0
39,384,0
115,268,0
346,486,1
361,88,0
411,226,1
58,436,0
347,215,0
488,269,1
66,425,0
286,182,0
419,22,0
415,326,1
463,499,1
175,364,1
166,120,1
464,504,1
251,182,0
